,2006_01,2006_02,2006_03,2006_04,2006_05,2006_06,2006_07,2006_08,2006_09,2006_10,2006_11,2006_12,2007_01,2007_02,2007_03,2007_04,2007_05,2007_06,2007_07,2007_08,2007_09,2007_10,2007_11,2007_12,2008_01,2008_02,2008_03,2008_04,2008_05,2008_06,2008_07,2008_08,2008_09,2008_10,2008_11,2008_12,2009_01,2009_02,2009_03,2009_04,2009_05,2009_06,2009_07,2009_08,2009_09,2009_10,2009_11,2009_12,2010_01,2010_02,2010_03,2010_04,2010_05,2010_06,2010_07,2010_08,2010_09,2010_10,2010_11,2010_12,2011_01,2011_02,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12
tr.94,5.090287801,4.352720805,4.899236974,4.788014798,4.727392411,4.845171338,4.899236974,4.845171338,4.727392411,5.388776531,4.593867012,4.593867012,4.152070562,4.257419323,4.999317914,4.950528915,4.352720805,4.593867012,4.519763125,4.899236974,4.727392411,5.04583692,4.788014798,4.999317914,4.899236974,4.899236974,4.593867012,4.788014798,4.788014798,4.845171338,4.999317914,4.662856588,5.132846643,4.727392411,4.593867012,4.352720805,5.212888063,4.845171338,4.845171338,4.593867012,4.999317914,4.352720805,4.845171338,4.727392411,4.950528915,5.132846643,5.3220859,4.519763125,4.519763125,4.519763125,5.212888063,4.257419323,5.250627852,4.899236974,5.090287801,4.519763125,5.173667955,4.352720805,4.257419323,4.593867012,3.900796535,4.788014798,4.662856588,4.788014798,4.899236974,4.950528915,4.845171338,4.257419323,4.999317914,4.899236974,4.788014798,4.845171338,4.727392411,4.788014798,4.999317914,4.593867012,5.388776531,4.727392411,4.662856588,4.152070562,4.439725566,4.899236974,4.439725566,4.788014798,4.352720805,5.173667955,4.662856588,4.999317914,4.788014798,4.788014798,4.662856588,4.899236974,4.845171338,4.662856588,4.845171338,4.727392411,4.439725566,4.03430396,4.03430396,4.03430396,4.352720805,4.593867012,4.439725566,4.727392411,4.662856588,4.950528915,4.257419323,4.727392411,4.899236974,3.564422454,4.999317914,5.132846643,4.899236974,4.257419323,4.593867012,4.519763125,4.662856588,4.727392411,4.439725566,4.899236974,4.152070562,4.352720805,4.152070562,4.593867012,4.519763125,5.090287801,5.090287801,4.899236974,4.152070562,4.519763125,4.662856588,4.950528915,4.662856588,4.727392411,4.727392411,4.662856588,4.593867012,4.788014798,4.999317914,4.662856588,4.662856588,4.662856588,4.439725566,4.727392411,4.152070562,4.152070562,4.593867012,4.788014798,4.662856588,4.152070562,3.900796535,4.593867012,4.662856588,4.727392411,5.04583692,4.257419323
tr.95,4.396587065,3.480495458,4.866567573,4.49189066,4.733040718,4.927190503,4.291235448,4.733040718,4.291235448,4.291235448,4.578897028,4.039951607,4.49189066,4.396587065,4.578897028,4.578897028,4.658935838,4.866567573,4.984347498,4.802031094,5.185014322,5.229465418,4.49189066,4.578897028,4.658935838,4.396587065,4.291235448,5.089705789,4.658935838,4.866567573,5.229465418,5.038413519,4.578897028,4.866567573,5.185014322,4.866567573,5.038413519,5.185014322,5.089705789,4.658935838,5.185014322,5.185014322,3.885828883,4.984347498,4.733040718,5.089705789,4.658935838,4.866567573,4.866567573,4.396587065,4.927190503,5.038413519,5.138495071,4.866567573,4.802031094,4.927190503,4.291235448,5.089705789,4.866567573,4.039951607,5.229465418,4.658935838,4.658935838,4.173464854,4.49189066,5.089705789,4.49189066,4.866567573,5.038413519,4.984347498,5.089705789,5.272024447,5.229465418,4.733040718,4.658935838,4.802031094,5.038413519,5.229465418,4.802031094,5.089705789,4.984347498,5.495165627,4.733040718,4.984347498,4.802031094,4.802031094,4.733040718,4.658935838,4.578897028,4.984347498,4.578897028,4.578897028,4.039951607,4.733040718,4.396587065,4.039951607,4.866567573,4.658935838,4.984347498,4.733040718,5.272024447,5.089705789,4.578897028,4.733040718,3.885828883,4.658935838,4.927190503,5.138495071,4.291235448,4.396587065,5.312845925,4.927190503,5.495165627,4.984347498,4.396587065,4.802031094,4.291235448,5.138495071,4.49189066,4.173464854,4.927190503,4.866567573,5.229465418,4.658935838,5.089705789,4.802031094,4.578897028,4.866567573,4.802031094,4.802031094,5.229465418,4.866567573,4.173464854,4.802031094,4.866567573,4.578897028,4.984347498,5.138495071,4.578897028,5.272024447,5.229465418,4.984347498,4.733040718,4.396587065,4.173464854,4.658935838,4.658935838,4.802031094,4.802031094,4.733040718,4.733040718,4.658935838,4.733040718,4.396587065,4.658935838,4.984347498
tr.96,4.252759491,4.990319418,4.339762788,4.945868731,4.745204281,4.945868731,4.252759491,4.627426264,4.990319418,5.112919223,4.688048155,3.646743102,4.945868731,4.627426264,4.688048155,4.157459934,4.419799208,4.562891037,4.745204281,4.339762788,4.899349949,4.627426264,4.339762788,4.688048155,3.934350809,4.419799208,4.419799208,4.157459934,4.688048155,4.799269566,4.627426264,4.339762788,4.419799208,4.419799208,4.562891037,4.688048155,4.990319418,4.627426264,4.627426264,4.493902191,4.688048155,4.799269566,4.899349949,4.157459934,4.745204281,4.252759491,4.052113775,4.745204281,4.339762788,3.646743102,4.252759491,4.339762788,4.627426264,3.800848687,4.850561207,4.493902191,4.688048155,4.252759491,4.850561207,4.157459934,4.899349949,4.493902191,5.032878088,4.052113775,4.052113775,4.945868731,3.646743102,4.157459934,4.990319418,4.945868731,4.627426264,4.252759491,4.688048155,4.252759491,4.562891037,4.493902191,4.252759491,5.032878088,4.899349949,4.562891037,4.688048155,4.562891037,4.419799208,4.419799208,3.646743102,4.252759491,4.052113775,4.493902191,4.627426264,4.562891037,4.252759491,4.419799208,4.899349949,4.419799208,4.252759491,4.493902191,4.562891037,4.688048155,4.052113775,4.799269566,4.627426264,4.850561207,4.493902191,4.850561207,4.252759491,4.745204281,3.464496319,4.419799208,4.627426264,4.339762788,3.934350809,4.339762788,4.850561207,4.052113775,4.745204281,4.339762788,4.850561207,4.419799208,4.157459934,3.800848687,4.339762788,4.799269566,4.745204281,4.419799208,4.157459934,4.493902191,5.032878088,4.945868731,4.419799208,4.799269566,4.899349949,4.419799208,4.850561207,4.339762788,4.562891037,4.339762788,4.899349949,4.562891037,3.934350809,4.850561207,4.493902191,4.945868731,4.562891037,4.688048155,4.562891037,4.945868731,4.493902191,4.945868731,4.899349949,5.073699249,4.688048155,4.627426264,4.688048155,4.627426264,4.419799208,4.688048155
tr.138,4.591716655,4.511678406,4.917126769,4.734811107,4.734811107,4.511678406,4.665821089,3.972740333,4.591716655,4.591716655,4.859969978,4.859969978,5.117793036,4.859969978,4.859969978,4.591716655,5.162244036,4.224019774,4.424672757,4.224019774,4.591716655,4.424672757,4.32937011,4.591716655,4.734811107,4.799347292,4.224019774,5.204802981,4.224019774,4.591716655,4.511678406,3.972740333,4.665821089,4.799347292,4.734811107,4.591716655,4.859969978,4.424672757,4.511678406,4.106250969,4.971192618,4.591716655,3.972740333,4.665821089,4.511678406,5.071273895,4.32937011,4.424672757,4.665821089,4.424672757,4.799347292,4.591716655,4.734811107,4.32937011,4.106250969,4.106250969,4.424672757,4.32937011,4.511678406,3.818621631,4.424672757,4.591716655,4.224019774,4.591716655,4.224019774,4.665821089,3.818621631,3.413307144,4.511678406,4.424672757,4.424672757,5.071273895,4.665821089,4.917126769,4.424672757,4.32937011,4.665821089,4.591716655,3.972740333,4.106250969,4.32937011,4.665821089,4.32937011,4.591716655,4.511678406,4.106250969,4.734811107,4.917126769,4.424672757,4.106250969,3.972740333,3.818621631,3.125835827,4.224019774,4.32937011,3.413307144,4.591716655,4.106250969,3.6363531,4.511678406,4.224019774,4.106250969,4.224019774,3.818621631,4.106250969,3.818621631,3.6363531,3.6363531,4.424672757,3.818621631,4.799347292,4.799347292,4.224019774,4.511678406,4.106250969,3.413307144,4.106250969,3.818621631,3.6363531,4.224019774,3.6363531,3.413307144,3.972740333,3.972740333,3.818621631,4.106250969,4.665821089,3.6363531,3.818621631,3.6363531,3.6363531,4.106250969,3.972740333,3.818621631,3.6363531,4.106250969,4.224019774,4.106250969,4.665821089,4.591716655,3.972740333,4.424672757,2.031054074,4.224019774,4.511678406,4.32937011,3.972740333,3.125835827,4.32937011,4.424672757,3.972740333,4.106250969,4.32937011,4.32937011,3.972740333,4.32937011
tr.139,4.165329736,3.472363256,3.60583819,3.318299545,3.723582513,4.09123139,3.723582513,3.60583819,3.136122172,3.924205022,3.472363256,4.011200813,3.723582513,3.472363256,3.924205022,4.011200813,3.924205022,3.472363256,4.011200813,3.723582513,4.416620362,3.472363256,3.318299545,4.234314842,3.60583819,4.165329736,3.60583819,3.723582513,3.318299545,3.924205022,4.011200813,4.359466362,3.828915334,3.828915334,4.09123139,2.626134205,3.828915334,3.472363256,3.318299545,3.723582513,4.011200813,3.60583819,3.472363256,3.318299545,3.318299545,4.011200813,3.60583819,3.60583819,4.09123139,2.913243888,3.60583819,3.924205022,4.165329736,3.723582513,2.913243888,2.913243888,3.318299545,4.359466362,4.011200813,3.318299545,2.913243888,4.09123139,3.60583819,3.924205022,4.165329736,3.318299545,3.60583819,3.723582513,3.136122172,2.913243888,3.472363256,3.828915334,3.136122172,3.828915334,3.60583819,3.828915334,3.828915334,3.723582513,4.011200813,3.828915334,3.723582513,3.472363256,3.723582513,2.913243888,3.723582513,2.222299105,3.60583819,4.09123139,3.472363256,3.60583819,4.234314842,3.318299545,3.723582513,3.318299545,2.913243888,3.723582513,3.136122172,3.318299545,3.472363256,3.60583819,3.136122172,3.723582513,3.60583819,2.626134205,2.913243888,3.924205022,3.723582513,2.626134205,3.136122172,3.318299545,2.222299105,3.924205022,3.318299545,2.626134205,3.924205022,3.136122172,3.318299545,3.60583819,3.472363256,2.222299105,2.913243888,3.136122172,3.136122172,3.828915334,2.222299105,3.318299545,1.53781929,3.723582513,2.913243888,3.60583819,3.472363256,3.472363256,3.472363256,3.60583819,2.913243888,3.723582513,3.472363256,3.472363256,3.472363256,3.136122172,3.924205022,3.60583819,3.924205022,3.723582513,2.913243888,2.222299105,3.828915334,3.60583819,3.60583819,3.318299545,3.136122172,3.136122172,3.318299545,3.318299545,3.723582513,4.165329736
tr.140,5.14035432,4.412144028,4.481132159,4.768800214,4.663443926,5.207044624,4.606288207,5.14035432,4.817588703,4.864107266,4.663443926,4.864107266,4.951116264,4.606288207,5.207044624,4.991937278,4.768800214,4.991937278,4.412144028,5.17425531,4.864107266,4.864107266,4.481132159,4.606288207,4.606288207,4.412144028,4.951116264,4.991937278,4.606288207,4.5456668,4.951116264,4.768800214,4.768800214,4.717508867,4.606288207,4.258006628,3.382776075,4.258006628,4.171004766,4.481132159,4.5456668,4.768800214,4.5456668,4.481132159,4.171004766,4.768800214,4.768800214,4.5456668,4.075707096,4.171004766,4.951116264,3.852604085,4.606288207,4.606288207,4.817588703,3.719107162,3.970363486,4.817588703,4.338041931,4.717508867,4.171004766,4.5456668,4.606288207,4.663443926,4.258006628,3.970363486,4.481132159,4.412144028,4.717508867,4.717508867,4.717508867,4.412144028,4.5456668,4.717508867,4.864107266,4.5456668,5.105263624,4.171004766,4.5456668,3.382776075,4.864107266,4.338041931,3.382776075,3.970363486,3.970363486,4.338041931,3.382776075,4.481132159,4.481132159,4.606288207,4.5456668,3.565009584,4.412144028,3.970363486,4.258006628,4.171004766,4.412144028,3.565009584,4.481132159,4.606288207,4.258006628,4.338041931,4.412144028,3.159794552,3.719107162,4.864107266,3.970363486,3.159794552,4.075707096,3.970363486,4.075707096,4.481132159,4.768800214,4.991937278,4.5456668,5.068896673,4.258006628,4.663443926,3.970363486,3.382776075,4.075707096,4.338041931,3.852604085,4.412144028,4.606288207,4.5456668,4.606288207,4.606288207,4.991937278,4.606288207,4.338041931,4.5456668,4.5456668,4.481132159,4.258006628,4.075707096,4.606288207,4.338041931,4.481132159,4.075707096,4.075707096,4.663443926,4.412144028,3.719107162,4.481132159,4.075707096,4.258006628,3.382776075,4.717508867,4.171004766,4.258006628,4.412144028,4.481132159,4.171004766,4.481132159,4.412144028
tr.141,4.166755259,4.012626274,4.012626274,4.472109448,4.300272571,4.300272571,4.235740387,3.607263359,3.830340693,3.830340693,4.012626274,4.472109448,4.705712123,3.473788264,4.418045952,4.418045952,4.092656885,4.300272571,4.523399562,3.925630439,4.36089194,4.166755259,4.300272571,4.235740387,4.418045952,4.418045952,4.012626274,4.166755259,4.472109448,4.472109448,4.012626274,4.092656885,4.235740387,4.300272571,4.235740387,4.472109448,4.418045952,4.092656885,4.418045952,4.418045952,4.523399562,4.012626274,3.925630439,3.925630439,4.092656885,4.092656885,3.473788264,3.607263359,4.300272571,3.137546523,4.36089194,4.472109448,4.472109448,3.607263359,4.235740387,3.473788264,4.418045952,4.092656885,4.523399562,4.012626274,3.725007792,4.235740387,4.572186989,4.523399562,4.300272571,3.473788264,4.166755259,3.925630439,3.725007792,4.092656885,3.319724306,3.725007792,3.607263359,4.166755259,4.166755259,4.012626274,4.418045952,3.925630439,3.607263359,4.166755259,3.607263359,3.830340693,3.725007792,4.012626274,4.012626274,3.725007792,3.830340693,3.473788264,3.473788264,3.925630439,3.319724306,4.012626274,3.137546523,4.092656885,3.607263359,4.012626274,3.137546523,3.607263359,3.725007792,2.914667485,3.473788264,4.092656885,3.830340693,3.925630439,3.725007792,3.925630439,3.607263359,4.235740387,3.830340693,3.473788264,3.137546523,3.473788264,4.012626274,4.36089194,4.012626274,4.618704632,4.092656885,3.607263359,4.092656885,3.319724306,3.830340693,3.925630439,3.725007792,3.925630439,3.607263359,4.166755259,4.012626274,4.418045952,4.472109448,4.092656885,4.300272571,3.725007792,3.925630439,2.223716465,4.092656885,3.473788264,3.830340693,4.012626274,3.607263359,3.725007792,3.830340693,3.830340693,3.725007792,3.473788264,3.319724306,3.473788264,3.607263359,3.607263359,3.607263359,3.830340693,3.473788264,3.607263359,3.830340693,3.607263359,3.473788264,4.092656885
tr.142,3.133808328,2.797790784,3.672491999,3.672491999,2.575168655,2.979828757,2.288610339,2.797790784,3.490241464,1.886335288,2.288610339,3.267228617,3.267228617,3.585511306,3.38493546,3.38493546,1.886335288,3.267228617,3.133808328,1.886335288,3.752510826,2.797790784,2.797790784,3.38493546,3.133808328,2.575168655,2.288610339,2.797790784,3.267228617,2.797790784,2.575168655,3.133808328,3.133808328,3.267228617,3.38493546,3.133808328,1.886335288,3.133808328,2.288610339,2.979828757,3.133808328,3.826599848,2.979828757,2.979828757,3.267228617,3.267228617,2.797790784,3.267228617,3.133808328,2.575168655,3.133808328,2.797790784,3.133808328,2.288610339,3.490241464,1.886335288,1.209909232,3.826599848,2.979828757,2.575168655,3.133808328,3.133808328,3.585511306,3.672491999,3.672491999,3.133808328,3.490241464,2.979828757,2.575168655,3.490241464,3.38493546,2.979828757,3.267228617,3.490241464,3.38493546,3.267228617,3.490241464,3.585511306,3.267228617,3.133808328,3.38493546,2.575168655,3.490241464,3.490241464,3.752510826,3.38493546,2.979828757,3.267228617,3.826599848,3.585511306,3.38493546,2.979828757,3.133808328,3.38493546,3.826599848,2.979828757,3.267228617,2.575168655,3.133808328,2.288610339,4.231999051,3.826599848,2.797790784,3.267228617,3.585511306,2.575168655,3.133808328,2.288610339,2.979828757,3.38493546,2.575168655,3.38493546,3.960103438,2.979828757,2.575168655,3.672491999,3.267228617,2.288610339,2.288610339,3.585511306,3.38493546,2.797790784,2.575168655,2.979828757,3.38493546,3.585511306,1.886335288,3.752510826,2.979828757,3.490241464,2.979828757,3.585511306,3.490241464,2.797790784,2.288610339,3.267228617,3.267228617,3.490241464,2.288610339,3.490241464,3.38493546,3.267228617,2.575168655,3.490241464,2.797790784,2.288610339,2.979828757,3.267228617,3.826599848,3.585511306,3.267228617,2.979828757,3.585511306,2.979828757,2.575168655,2.797790784
tr.143,-0.693147181,1.525607693,-0.693147181,2.209872908,2.613667012,1.525607693,2.90076225,3.123633831,2.613667012,2.209872908,2.209872908,2.613667012,2.613667012,2.90076225,2.209872908,1.525607693,2.90076225,1.525607693,2.613667012,2.613667012,3.711085918,1.525607693,1.525607693,2.613667012,-0.693147181,-0.693147181,1.525607693,-0.693147181,2.209872908,2.209872908,2.90076225,2.90076225,-0.693147181,2.90076225,2.613667012,2.209872908,-0.693147181,2.613667012,1.525607693,2.209872908,1.525607693,1.525607693,1.525607693,2.209872908,2.90076225,1.525607693,3.123633831,1.525607693,2.209872908,1.525607693,2.209872908,-0.693147181,2.90076225,2.613667012,1.525607693,2.90076225,-0.693147181,2.613667012,2.90076225,1.525607693,1.525607693,1.525607693,1.525607693,1.525607693,3.459869069,2.90076225,4.221815887,2.209872908,2.613667012,1.525607693,2.209872908,3.305807558,2.209872908,3.593342575,3.459869069,2.209872908,3.593342575,1.525607693,3.123633831,2.90076225,2.613667012,2.209872908,2.613667012,2.613667012,2.90076225,2.209872908,1.525607693,3.123633831,3.459869069,2.209872908,1.525607693,2.209872908,2.209872908,2.209872908,2.613667012,1.525607693,2.209872908,2.209872908,2.613667012,1.525607693,1.525607693,3.459869069,2.209872908,3.593342575,1.525607693,-0.693147181,2.613667012,2.613667012,2.209872908,1.525607693,2.613667012,3.305807558,2.209872908,-0.693147181,-0.693147181,2.90076225,3.459869069,2.209872908,1.525607693,2.90076225,2.613667012,1.525607693,1.525607693,3.593342575,2.209872908,3.123633831,3.123633831,1.525607693,2.613667012,2.90076225,2.613667012,-0.693147181,2.209872908,1.525607693,2.209872908,2.613667012,2.613667012,2.90076225,2.613667012,2.209872908,2.613667012,2.209872908,2.90076225,2.209872908,1.525607693,-0.693147181,2.613667012,2.613667012,2.613667012,2.209872908,2.90076225,2.209872908,3.459869069,1.525607693,3.305807558,2.90076225
tr.144,3.644231118,4.154947403,3.749559178,3.238979461,4.011866941,2.54698256,3.393028224,3.056826861,3.393028224,2.833994118,3.056826861,3.238979461,3.644231118,2.833994118,3.393028224,2.833994118,3.844845341,3.393028224,3.393028224,2.54698256,3.749559178,3.056826861,3.749559178,3.526493453,3.238979461,2.143425818,3.526493453,3.393028224,3.526493453,3.749559178,3.056826861,2.833994118,3.238979461,3.526493453,3.644231118,3.393028224,2.54698256,2.833994118,2.833994118,3.526493453,3.056826861,3.644231118,2.143425818,2.54698256,2.833994118,3.238979461,3.056826861,3.393028224,2.833994118,2.833994118,2.54698256,2.54698256,3.644231118,3.393028224,3.526493453,3.844845341,1.460399904,3.749559178,3.238979461,2.54698256,2.54698256,3.056826861,3.238979461,3.526493453,3.393028224,2.143425818,3.644231118,3.056826861,3.644231118,3.056826861,3.056826861,3.644231118,3.844845341,3.238979461,3.238979461,3.238979461,3.238979461,3.749559178,4.011866941,2.143425818,3.238979461,3.644231118,3.393028224,3.749559178,2.833994118,3.644231118,3.056826861,4.280096923,3.644231118,3.238979461,3.749559178,3.749559178,4.085963632,3.393028224,2.143425818,2.143425818,1.460399904,2.143425818,2.54698256,3.393028224,3.393028224,3.238979461,3.931838451,3.393028224,3.056826861,3.056826861,2.833994118,2.54698256,2.833994118,3.644231118,2.833994118,3.056826861,3.644231118,3.238979461,3.393028224,3.056826861,3.844845341,3.056826861,3.238979461,2.833994118,3.749559178,1.460399904,3.844845341,3.393028224,3.238979461,4.154947403,3.393028224,3.238979461,3.393028224,3.931838451,3.056826861,3.644231118,3.393028224,2.143425818,3.056826861,2.54698256,3.749559178,3.393028224,3.526493453,3.526493453,3.844845341,3.238979461,2.833994118,2.833994118,3.526493453,2.54698256,2.54698256,1.460399904,3.526493453,3.749559178,3.238979461,2.833994118,3.056826861,4.011866941,2.54698256,3.526493453
