"","ALAND10","INTPTLON10","INTPTLAT10"
"tr.94",366717,"-075.2322437","+39.9632709"
"tr.95",319070,"-075.2379140","+39.9658709"
"tr.96",405273,"-075.2435075","+39.9655396"
"tr.138",341256,"-075.1771771","+39.9764504"
"tr.139",562934,"-075.1711846","+39.9750563"
"tr.140",439802,"-075.1630966","+39.9735358"
"tr.141",562132,"-075.1524555","+39.9708771"
"tr.142",789935,"-075.1359612","+39.9652375"
"tr.143",570015,"-075.1265617","+39.9671225"
"tr.144",609439,"-075.1400952","+39.9722286"
"tr.145",321464,"-075.1484189","+39.9760715"
"tr.146",445048,"-075.1546990","+39.9764305"
"tr.147",337677,"-075.1620244","+39.9785489"
"tr.148",191126,"-075.1691610","+39.9802047"
"tr.149",453221,"-075.1804029","+39.9816503"
"tr.152",669101,"-075.1700491","+39.9854546"
"tr.153",469136,"-075.1608849","+39.9837644"
"tr.156",429567,"-075.1418910","+39.9790066"
"tr.190",778606,"-075.0986136","+40.0095015"
"tr.191",1439101,"-075.1071820","+40.0095510"
"tr.192",656913,"-075.1150648","+40.0006393"
"tr.197",450587,"-075.1379372","+40.0162799"
"tr.198",541006,"-075.1421472","+40.0107245"
"tr.199",661884,"-075.1435463","+40.0048515"
"tr.200",316676,"-075.1508995","+40.0025289"
"tr.202",756814,"-075.1621609","+40.0081282"
"tr.203",508176,"-075.1495922","+40.0125820"
"tr.204",407372,"-075.1525117","+40.0198216"
"tr.205",1429510,"-075.1643607","+40.0158738"
"tr.206",1295848,"-075.1827740","+40.0198000"
"tr.13",727889,"-075.1862050","+39.9445258"
"tr.14",315832,"-075.1715930","+39.9429436"
"tr.15",239383,"-075.1591158","+39.9419037"
"tr.16",196392,"-075.1483127","+39.9402546"
"tr.17",221530,"-075.1483114","+39.9377593"
"tr.18",242483,"-075.1593091","+39.9399998"
"tr.19",328327,"-075.1722270","+39.9400454"
"tr.20",289368,"-075.1843145","+39.9381416"
"tr.21",237519,"-075.1768955","+39.9372214"
"tr.22",228696,"-075.1703923","+39.9364111"
"tr.23",212379,"-075.1629799","+39.9348217"
"tr.24",535421,"-075.1595100","+39.9367634"
"tr.25",398697,"-075.1498023","+39.9342960"
"tr.29",370217,"-075.1655729","+39.9306984"
"tr.31",395908,"-075.1779572","+39.9323428"
"tr.50",4504459,"-075.1691412","+39.8898768"
"tr.54",1846253,"-075.2513923","+39.8904539"
"tr.55",1168442,"-075.2489174","+39.9074191"
"tr.56",840411,"-075.2447347","+39.8988328"
"tr.60",1089657,"-075.2381570","+39.9115196"
"tr.61",534201,"-075.2288094","+39.9150013"
"tr.62",509636,"-075.2335257","+39.9194134"
"tr.63",555602,"-075.2399762","+39.9210843"
"tr.100",497695,"-075.2503759","+39.9710834"
"tr.101",601437,"-075.2425290","+39.9721396"
"tr.102",360618,"-075.2316701","+39.9680830"
"tr.103",281357,"-075.2254383","+39.9678322"
"tr.104",472051,"-075.2191193","+39.9654995"
"tr.105",657766,"-075.2142018","+39.9665652"
"tr.106",265466,"-075.2079213","+39.9646327"
"tr.107",460475,"-075.2069442","+39.9687475"
"tr.108",585732,"-075.1989890","+39.9660217"
"tr.109",248168,"-075.1917650","+39.9649286"
"tr.110",472868,"-075.2062951","+39.9737291"
"tr.111",1301411,"-075.2215745","+39.9752003"
"tr.112",503162,"-075.2336533","+39.9736041"
"tr.113",334899,"-075.2353346","+39.9786554"
"tr.114",972947,"-075.2440178","+39.9807388"
"tr.157",485211,"-075.1355242","+39.9780463"
"tr.158",580218,"-075.1294327","+39.9735773"
"tr.160",720839,"-075.1231903","+39.9793809"
"tr.161",707586,"-075.1275250","+39.9844571"
"tr.162",364983,"-075.1384217","+39.9840197"
"tr.163",572226,"-075.1339156","+39.9885061"
"tr.164",485026,"-075.1431665","+39.9896437"
"tr.165",394713,"-075.1491723","+39.9890550"
"tr.166",261133,"-075.1536062","+39.9890491"
"tr.168",581301,"-075.1676540","+39.9917820"
"tr.39.01",420397,"-075.1732854","+39.9238262"
"tr.169.02",563700,"-075.1831934","+39.9939857"
"tr.169.01",512907,"-075.1758394","+39.9930523"
"tr.207",1428274,"-075.1944867","+40.0126929"
"tr.208",880647,"-075.1936140","+40.0213151"
"tr.209",509953,"-075.2089795","+40.0186576"
"tr.210",858223,"-075.2151045","+40.0244730"
"tr.211",540313,"-075.2065293","+40.0264564"
"tr.212",515705,"-075.2125337","+40.0348390"
"tr.213",538876,"-075.2181175","+40.0322339"
"tr.214",607138,"-075.2240827","+40.0279290"
"tr.215",1003279,"-075.2288249","+40.0350417"
"tr.216",1991850,"-075.2403985","+40.0436758"
"tr.241",407855,"-075.1759175","+40.0332734"
"tr.242",532060,"-075.1697086","+40.0285110"
"tr.243",679035,"-075.1710376","+40.0215855"
"tr.244",421189,"-075.1638925","+40.0248284"
"tr.245",801001,"-075.1620463","+40.0333286"
"tr.246",621264,"-075.1729016","+40.0409623"
"tr.247",941266,"-075.1645311","+40.0417034"
"tr.248",319263,"-075.1668818","+40.0468442"
"tr.249",325198,"-075.1601167","+40.0511009"
"tr.252",952423,"-075.1771588","+40.0468352"
"tr.253",581298,"-075.1822200","+40.0542198"
"tr.254",769760,"-075.1760718","+40.0604202"
"tr.255",766603,"-075.1840640","+40.0625796"
"tr.256",863997,"-075.1883025","+40.0683411"
"tr.283",673067,"-075.1438525","+40.0260505"
"tr.284",492451,"-075.1381287","+40.0251577"
"tr.285",267006,"-075.1337359","+40.0287154"
"tr.286",717845,"-075.1276448","+40.0285757"
"tr.287",340972,"-075.1314402","+40.0218194"
"tr.288",442001,"-075.1240562","+40.0222841"
"tr.290",818133,"-075.1166058","+40.0296096"
"tr.291",1327550,"-075.1074594","+40.0361323"
"tr.292",1732847,"-075.1021580","+40.0249561"
"tr.293",685641,"-075.0917655","+40.0137540"
"tr.294",647647,"-075.0854721","+40.0094789"
"tr.298",649155,"-075.0678013","+40.0159529"
"tr.333",1011566,"-075.0440558","+40.0550147"
"tr.334",1218434,"-075.0529610","+40.0535052"
"tr.335",942793,"-075.0648677","+40.0546014"
"tr.336",1153639,"-075.0592350","+40.0614785"
"tr.338",1400220,"-075.0736440","+40.0626481"
"tr.339",1141156,"-075.0873418","+40.0685560"
"tr.340",763893,"-075.0735007","+40.0711759"
"tr.341",1333267,"-075.0806938","+40.0763415"
"tr.342",1000768,"-075.0721585","+40.0825947"
"tr.9802",5200674,"-075.0443910","+40.0714709"
"tr.344",3399171,"-075.0564419","+40.0943325"
"tr.346",1853669,"-075.0207264","+40.0708314"
"tr.64",645368,"-075.2428396","+39.9251805"
"tr.65",1111283,"-075.2318406","+39.9330955"
"tr.66",651244,"-075.2298425","+39.9293155"
"tr.363.01",2322732,"-074.9667387","+40.0895349"
"tr.364",4501110,"-074.9789137","+40.1127747"
"tr.366",1004313,"-075.1404472","+39.9470272"
"tr.348.03",1271533,"-075.0023705","+40.0619427"
"tr.347.02",1016206,"-075.0283288","+40.0570427"
"tr.362.02",1116115,"-074.9781805","+40.0838623"
"tr.38",1089154,"-075.1831323","+39.9184658"
"tr.83.02",425234,"-075.2414378","+39.9566981"
"tr.176.02",400458,"-075.1305528","+39.9967182"
"tr.10.02",471662,"-075.1466193","+39.9450045"
"tr.10.01",229399,"-075.1516020","+39.9456722"
"tr.4.02",303680,"-075.1686952","+39.9532973"
"tr.4.01",214766,"-075.1758082","+39.9541871"
"tr.122.04",849290,"-075.2120769","+40.0009407"
"tr.122.03",226108,"-075.2093526","+40.0074668"
"tr.136.02",234732,"-075.1798097","+39.9715714"
"tr.345.01",447469,"-075.0392089","+40.0749091"
"tr.345.02",1009269,"-075.0383811","+40.0814446"
"tr.11.02",204062,"-075.1566960","+39.9442654"
"tr.9.02",155164,"-075.1566389","+39.9471596"
"tr.9.01",105510,"-075.1623004","+39.9478866"
"tr.172.01",262958,"-075.1686145","+39.9993972"
"tr.172.02",290610,"-075.1742061","+39.9986670"
"tr.274.01",326659,"-075.1286496","+40.0386049"
"tr.201.01",483577,"-075.1553072","+40.0036824"
"tr.201.02",373125,"-075.1545676","+40.0111415"
"tr.311.01",349649,"-075.0785449","+40.0422496"
"tr.311.02",397973,"-075.0833729","+40.0370850"
"tr.195.02",370302,"-075.1300445","+40.0034030"
"tr.195.01",393883,"-075.1316227","+40.0004303"
"tr.289.01",598655,"-075.1151820","+40.0171008"
"tr.289.02",772294,"-075.1116877","+40.0216105"
"tr.331.01",486954,"-075.0379505","+40.0403093"
"tr.331.02",718272,"-075.0272869","+40.0451050"
"tr.315.01",587242,"-075.0481642","+40.0365919"
"tr.305.01",377375,"-075.0994351","+40.0428163"
"tr.305.02",699246,"-075.1046619","+40.0457206"
"tr.98.02",611026,"-075.2679037","+39.9745879"
"tr.180.01",387383,"-075.1128000","+39.9810569"
"tr.177.02",489258,"-075.1231399","+39.9950621"
"tr.177.01",241053,"-075.1167526","+39.9964470"
"tr.356.02",1394868,"-075.0480601","+40.1079419"
"tr.357.01",598625,"-075.0286811","+40.1095846"
"tr.357.02",1559149,"-075.0374316","+40.1130914"
"tr.356.01",2029707,"-075.0388184","+40.0973908"
"tr.151.01",193072,"-075.1857502","+39.9869632"
"tr.151.02",556570,"-075.1794280","+39.9861430"
"tr.365.01",1816093,"-075.0120077","+40.1290877"
"tr.9804",2923998,"-075.2337414","+39.8798897"
"tr.134.02",238612,"-075.1690326","+39.9653623"
"tr.134.01",164058,"-075.1752507","+39.9659574"
"tr.136.01",167625,"-075.1785774","+39.9689697"
"tr.379",1374524,"-075.0927158","+39.9910899"
"tr.382",1828671,"-075.0973643","+39.9963741"
"tr.380",874602,"-075.0807845","+40.0052279"
"tr.381",3335029,"-075.0399564","+40.0189334"
"tr.384",2546785,"-075.2332568","+40.0714163"
"tr.1",704909,"-075.1466628","+39.9523827"
"tr.2",382478,"-075.1569775","+39.9553999"
"tr.3",548342,"-075.1716655","+39.9568780"
"tr.5",428783,"-075.1581776","+39.9519534"
"tr.6",172655,"-075.1583354","+39.9493845"
"tr.7",246682,"-075.1729143","+39.9510463"
"tr.32",491790,"-075.1854187","+39.9333011"
"tr.33",1062354,"-075.1958253","+39.9384405"
"tr.36",964539,"-075.1920206","+39.9279255"
"tr.37.01",355619,"-075.1806654","+39.9276728"
"tr.37.02",247413,"-075.1824354","+39.9245283"
"tr.41.01",374000,"-075.1589741","+39.9229611"
"tr.40.02",344837,"-075.1674160","+39.9188943"
"tr.39.02",452596,"-075.1744119","+39.9167178"
"tr.40.01",314952,"-075.1662102","+39.9238035"
"tr.41.02",391854,"-075.1600629","+39.9179425"
"tr.42.02",453343,"-075.1516284","+39.9168570"
"tr.42.01",361679,"-075.1512640","+39.9219554"
"tr.79",377950,"-075.2182570","+39.9504630"
"tr.80",430471,"-075.2268423","+39.9506613"
"tr.82",832334,"-075.2444494","+39.9491574"
"tr.176.01",579127,"-075.1343448","+39.9939260"
"tr.83.01",510557,"-075.2467384","+39.9577810"
"tr.84",501765,"-075.2354681","+39.9579899"
"tr.85",621445,"-075.2265389","+39.9568821"
"tr.90",436319,"-075.1906245","+39.9595116"
"tr.91",425573,"-075.1977245","+39.9594179"
"tr.92",512009,"-075.2074723","+39.9601608"
"tr.93",402475,"-075.2240225","+39.9622914"
"tr.67",1001467,"-075.2242816","+39.9242475"
"tr.69",704352,"-075.2146526","+39.9306204"
"tr.70",469047,"-075.2214770","+39.9351850"
"tr.72",502614,"-075.2332168","+39.9446370"
"tr.73",387201,"-075.2232916","+39.9448185"
"tr.74",675930,"-075.2143067","+39.9408575"
"tr.77",322260,"-075.2082584","+39.9463523"
"tr.78",427404,"-075.2162637","+39.9464580"
"tr.115",370456,"-075.2518303","+39.9773687"
"tr.117",654019,"-075.2404371","+39.9919070"
"tr.118",915129,"-075.2357395","+39.9852889"
"tr.119",691111,"-075.2288429","+39.9861142"
"tr.120",600681,"-075.2297466","+39.9955323"
"tr.121",876796,"-075.2223795","+39.9964998"
"tr.125",864810,"-075.1720837","+39.9613701"
"tr.131",322157,"-075.1507381","+39.9651312"
"tr.132",426671,"-075.1571335","+39.9662042"
"tr.133",357932,"-075.1629455","+39.9666126"
"tr.135",404891,"-075.1700367","+39.9693564"
"tr.137",589738,"-075.1842323","+39.9772752"
"tr.170",1570376,"-075.1834204","+40.0078614"
"tr.171",1140882,"-075.1763248","+40.0027449"
"tr.173",874586,"-075.1609337","+39.9985707"
"tr.174",353985,"-075.1503586","+39.9962138"
"tr.175",719915,"-075.1429842","+39.9979150"
"tr.178",662905,"-075.1173063","+39.9913734"
