"","2006_01","2006_02","2006_03","2006_04","2006_05","2006_06","2006_07","2006_08","2006_09","2006_10","2006_11","2006_12","2007_01","2007_02","2007_03","2007_04","2007_05","2007_06","2007_07","2007_08","2007_09","2007_10","2007_11","2007_12","2008_01","2008_02","2008_03","2008_04","2008_05","2008_06","2008_07","2008_08","2008_09","2008_10","2008_11","2008_12","2009_01","2009_02","2009_03","2009_04","2009_05","2009_06","2009_07","2009_08","2009_09","2009_10","2009_11","2009_12","2010_01","2010_02","2010_03","2010_04","2010_05","2010_06","2010_07","2010_08","2010_09","2010_10","2010_11","2010_12","2011_01","2011_02","2011_03","2011_04","2011_05","2011_06","2011_07","2011_08","2011_09","2011_10","2011_11","2011_12","2012_01","2012_02","2012_03","2012_04","2012_05","2012_06","2012_07","2012_08","2012_09","2012_10","2012_11","2012_12","2013_01","2013_02","2013_03","2013_04","2013_05","2013_06","2013_07","2013_08","2013_09","2013_10","2013_11","2013_12","2014_01","2014_02","2014_03","2014_04","2014_05","2014_06","2014_07","2014_08","2014_09","2014_10","2014_11","2014_12","2015_01","2015_02","2015_03","2015_04","2015_05","2015_06","2015_07","2015_08","2015_09","2015_10","2015_11","2015_12","2016_01","2016_02","2016_03","2016_04","2016_05","2016_06","2016_07","2016_08","2016_09","2016_10","2016_11","2016_12","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12"
"tr.94",3.74668278089444,3.90079653546076,3.0539528554865,3.0539528554865,3.74668278089444,4.15207056218939,4.51976312514197,3.34139159256444,4.03430395998172,4.03430395998172,4.35272080458573,4.15207056218939,3.56442245421063,4.25741932260101,3.74668278089444,3.90079653546076,4.03430395998172,3.0539528554865,4.35272080458573,3.56442245421063,3.90079653546076,4.03430395998172,4.25741932260101,4.03430395998172,4.51976312514197,4.25741932260101,4.03430395998172,4.15207056218939,4.72739241140369,3.56442245421063,4.25741932260101,4.25741932260101,3.90079653546076,4.72739241140369,4.25741932260101,3.90079653546076,3.0539528554865,3.56442245421063,3.56442245421063,3.56442245421063,4.15207056218939,4.15207056218939,4.43972556601829,4.35272080458573,3.34139159256444,4.25741932260101,4.51976312514197,3.34139159256444,3.56442245421063,3.56442245421063,3.34139159256444,3.90079653546076,3.90079653546076,4.35272080458573,4.59386701202241,4.15207056218939,4.15207056218939,4.15207056218939,4.03430395998172,3.74668278089444,4.25741932260101,3.90079653546076,3.0539528554865,3.74668278089444,3.74668278089444,3.56442245421063,3.90079653546076,3.56442245421063,3.90079653546076,3.74668278089444,4.03430395998172,3.74668278089444,4.25741932260101,3.56442245421063,4.03430395998172,3.56442245421063,4.25741932260101,4.43972556601829,4.15207056218939,4.59386701202241,4.03430395998172,4.03430395998172,4.35272080458573,4.03430395998172,3.34139159256444,4.15207056218939,4.25741932260101,4.15207056218939,3.74668278089444,3.0539528554865,3.90079653546076,3.56442245421063,4.15207056218939,4.15207056218939,4.15207056218939,4.15207056218939,3.56442245421063,1.9597591292253,3.34139159256444,3.34139159256444,3.34139159256444,3.56442245421063,4.03430395998172,4.03430395998172,3.74668278089444,4.15207056218939,3.90079653546076,3.56442245421063,3.56442245421063,2.64918201454678,2.64918201454678,3.90079653546076,4.25741932260101,3.56442245421063,4.35272080458573,4.25741932260101,3.56442245421063,4.43972556601829,3.0539528554865,3.56442245421063,3.34139159256444,2.64918201454678,3.74668278089444,3.74668278089444,3.56442245421063,3.34139159256444,3.74668278089444,3.90079653546076,3.34139159256444,4.03430395998172,4.15207056218939,3.56442245421063,3.90079653546076,3.74668278089444,3.0539528554865,4.03430395998172,4.15207056218939,3.74668278089444,3.0539528554865,4.03430395998172,4.35272080458573,4.43972556601829,3.90079653546076,3.34139159256444,4.25741932260101,4.15207056218939,3.74668278089444,4.03430395998172,3.34139159256444,3.56442245421063,4.03430395998172,3.90079653546076,4.15207056218939,3.90079653546076,4.03430395998172,3.56442245421063
"tr.95",3.4804954578201,4.03995160676558,4.29123544825738,3.88582888272034,4.17346485375764,4.73304071782441,4.49189065966747,3.88582888272034,4.03995160676558,4.29123544825738,5.08970578894184,4.29123544825738,4.73304071782441,4.17346485375764,4.29123544825738,3.88582888272034,3.88582888272034,4.17346485375764,4.17346485375764,4.29123544825738,4.65893583838435,4.49189065966747,3.4804954578201,4.17346485375764,4.17346485375764,4.49189065966747,4.57889702838007,4.39658706454418,4.17346485375764,3.70355368434809,4.39658706454418,4.39658706454418,4.49189065966747,3.70355368434809,4.39658706454418,4.17346485375764,3.70355368434809,3.19299765452198,4.29123544825738,3.88582888272034,3.4804954578201,3.88582888272034,4.03995160676558,4.39658706454418,4.17346485375764,4.03995160676558,4.17346485375764,3.88582888272034,4.03995160676558,2.09773703818272,3.88582888272034,4.57889702838007,4.49189065966747,3.4804954578201,4.03995160676558,4.17346485375764,4.17346485375764,3.19299765452198,3.70355368434809,3.70355368434809,3.4804954578201,3.4804954578201,4.03995160676558,3.70355368434809,4.57889702838007,4.39658706454418,4.39658706454418,3.88582888272034,3.70355368434809,3.70355368434809,3.70355368434809,3.4804954578201,3.88582888272034,3.19299765452198,4.29123544825738,4.39658706454418,4.17346485375764,4.03995160676558,4.03995160676558,4.39658706454418,4.17346485375764,4.03995160676558,3.19299765452198,4.29123544825738,4.39658706454418,3.19299765452198,3.4804954578201,3.19299765452198,4.03995160676558,4.17346485375764,3.88582888272034,4.49189065966747,4.29123544825738,4.29123544825738,3.70355368434809,3.4804954578201,4.03995160676558,2.09773703818272,4.03995160676558,4.17346485375764,3.4804954578201,4.17346485375764,4.29123544825738,3.4804954578201,3.88582888272034,3.88582888272034,3.88582888272034,4.17346485375764,3.19299765452198,3.70355368434809,2.78805846930417,3.70355368434809,4.57889702838007,4.03995160676558,4.17346485375764,3.70355368434809,3.19299765452198,4.03995160676558,3.19299765452198,3.88582888272034,3.19299765452198,3.70355368434809,3.88582888272034,3.70355368434809,3.88582888272034,4.17346485375764,3.88582888272034,4.49189065966747,4.57889702838007,3.70355368434809,4.03995160676558,3.4804954578201,3.88582888272034,2.78805846930417,3.4804954578201,4.03995160676558,3.88582888272034,4.17346485375764,3.88582888272034,4.03995160676558,4.57889702838007,3.88582888272034,4.29123544825738,3.70355368434809,4.39658706454418,4.03995160676558,3.19299765452198,4.03995160676558,4.73304071782441,3.88582888272034,4.29123544825738,3.19299765452198,4.49189065966747,4.17346485375764,3.88582888272034,4.17346485375764
"tr.96",3.93435080874556,3.46449631884581,3.800848687346,2.95410541024029,4.05211377466124,4.25275949102375,4.05211377466124,3.93435080874556,4.62742626393986,4.15745993381029,4.8993499485694,4.41979920816157,4.25275949102375,3.64674310185751,4.15745993381029,3.800848687346,4.05211377466124,3.46449631884581,3.24149037542911,4.05211377466124,4.25275949102375,4.56289103719426,3.93435080874556,4.41979920816157,4.15745993381029,4.05211377466124,4.25275949102375,4.25275949102375,3.93435080874556,4.33976278843521,4.79926956606295,3.800848687346,4.25275949102375,4.05211377466124,4.15745993381029,3.800848687346,4.25275949102375,4.25275949102375,3.800848687346,3.800848687346,4.05211377466124,2.54948772456355,4.05211377466124,4.15745993381029,4.15745993381029,4.33976278843521,4.15745993381029,4.05211377466124,4.56289103719426,3.800848687346,3.800848687346,3.800848687346,4.41979920816157,4.15745993381029,3.93435080874556,3.93435080874556,4.25275949102375,4.49390219093729,4.05211377466124,3.93435080874556,4.15745993381029,3.46449631884581,3.46449631884581,3.46449631884581,3.93435080874556,3.93435080874556,4.25275949102375,3.64674310185751,4.05211377466124,3.24149037542911,3.93435080874556,4.25275949102375,3.24149037542911,3.93435080874556,4.25275949102375,4.15745993381029,4.05211377466124,4.25275949102375,4.05211377466124,3.93435080874556,4.25275949102375,4.62742626393986,4.05211377466124,4.49390219093729,2.95410541024029,3.800848687346,4.56289103719426,3.64674310185751,3.46449631884581,4.05211377466124,4.33976278843521,4.15745993381029,3.64674310185751,3.800848687346,4.41979920816157,4.15745993381029,4.25275949102375,2.95410541024029,4.15745993381029,3.93435080874556,4.05211377466124,3.64674310185751,4.94586873099558,3.24149037542911,4.25275949102375,4.15745993381029,3.46449631884581,4.15745993381029,3.800848687346,3.800848687346,3.93435080874556,4.15745993381029,3.64674310185751,4.25275949102375,4.33976278843521,4.41979920816157,4.49390219093729,4.25275949102375,3.64674310185751,4.56289103719426,3.64674310185751,4.05211377466124,4.15745993381029,4.05211377466124,4.15745993381029,4.56289103719426,4.74520428119466,4.62742626393986,4.56289103719426,4.25275949102375,4.49390219093729,4.15745993381029,4.49390219093729,3.800848687346,4.05211377466124,3.800848687346,3.24149037542911,4.41979920816157,4.56289103719426,4.68804815542016,4.74520428119466,4.8993499485694,3.800848687346,4.62742626393986,4.74520428119466,4.05211377466124,4.15745993381029,4.05211377466124,4.99031941768338,4.94586873099558,4.15745993381029,4.8993499485694,4.41979920816157,4.62742626393986,4.49390219093729,4.25275949102375
"tr.138",3.97274033301722,4.32937010980096,3.81862163059067,4.42467275749113,2.03105407392937,3.81862163059067,4.22401977396113,3.41330714397841,4.10625096943712,3.97274033301722,4.22401977396113,4.22401977396113,4.42467275749113,2.72097214588081,4.32937010980096,3.63635310032481,4.32937010980096,3.63635310032481,4.73481110657373,3.81862163059067,4.73481110657373,4.32937010980096,4.51167840557627,4.10625096943712,3.81862163059067,3.97274033301722,4.42467275749113,4.85996997771828,4.22401977396113,3.63635310032481,5.02248473964607,4.10625096943712,3.63635310032481,3.63635310032481,4.66582108917258,3.97274033301722,3.63635310032481,3.63635310032481,3.63635310032481,3.63635310032481,4.66582108917258,3.41330714397841,3.81862163059067,3.41330714397841,3.41330714397841,4.10625096943712,3.97274033301722,4.42467275749113,3.81862163059067,3.12583582736681,4.32937010980096,3.81862163059067,4.51167840557627,4.10625096943712,3.81862163059067,4.59171665474688,4.22401977396113,4.42467275749113,3.81862163059067,4.42467275749113,4.22401977396113,4.10625096943712,3.81862163059067,2.03105407392937,3.41330714397841,4.51167840557627,4.22401977396113,3.63635310032481,4.22401977396113,4.10625096943712,3.97274033301722,4.32937010980096,4.73481110657373,5.02248473964607,3.81862163059067,4.42467275749113,4.22401977396113,4.10625096943712,3.41330714397841,3.81862163059067,3.41330714397841,4.32937010980096,4.42467275749113,4.42467275749113,2.72097214588081,3.41330714397841,4.51167840557627,3.81862163059067,3.63635310032481,4.79934729183302,3.97274033301722,3.97274033301722,4.59171665474688,4.32937010980096,3.12583582736681,3.81862163059067,3.97274033301722,2.72097214588081,3.81862163059067,3.41330714397841,4.73481110657373,4.32937010980096,3.63635310032481,3.97274033301722,3.63635310032481,4.22401977396113,3.63635310032481,4.59171665474688,3.63635310032481,3.41330714397841,3.81862163059067,3.41330714397841,4.42467275749113,4.22401977396113,4.73481110657373,4.51167840557627,4.79934729183302,3.81862163059067,4.10625096943712,4.10625096943712,4.22401977396113,4.10625096943712,3.12583582736681,4.22401977396113,3.97274033301722,4.42467275749113,4.22401977396113,3.97274033301722,3.81862163059067,3.41330714397841,3.81862163059067,4.42467275749113,3.63635310032481,3.12583582736681,2.72097214588081,3.63635310032481,3.81862163059067,4.59171665474688,4.42467275749113,3.81862163059067,4.59171665474688,4.10625096943712,3.97274033301722,3.97274033301722,3.97274033301722,3.12583582736681,4.22401977396113,4.22401977396113,4.51167840557627,4.22401977396113,3.81862163059067,3.97274033301722,4.51167840557627,4.42467275749113,4.22401977396113,4.22401977396113
"tr.139",3.72358251281433,3.13612217226411,3.82891533447339,3.31829954473405,3.60583819024097,3.13612217226411,3.60583819024097,3.13612217226411,3.60583819024097,3.92420502236965,3.13612217226411,4.35946636205177,4.09123138985294,3.31829954473405,3.72358251281433,3.82891533447339,2.91324388826224,3.31829954473405,4.16532973646471,3.31829954473405,3.60583819024097,3.72358251281433,3.60583819024097,3.4723632558186,3.60583819024097,2.91324388826224,3.31829954473405,3.31829954473405,3.82891533447339,4.0112008127392,4.09123138985294,3.82891533447339,4.09123138985294,3.13612217226411,3.72358251281433,3.31829954473405,3.31829954473405,3.31829954473405,2.22229910493953,3.72358251281433,3.72358251281433,3.4723632558186,2.91324388826224,3.82891533447339,3.92420502236965,3.92420502236965,3.31829954473405,2.91324388826224,3.92420502236965,3.31829954473405,3.60583819024097,2.91324388826224,3.31829954473405,4.0112008127392,3.72358251281433,3.4723632558186,3.4723632558186,3.72358251281433,3.31829954473405,3.4723632558186,3.92420502236965,2.91324388826224,2.91324388826224,3.72358251281433,4.0112008127392,3.92420502236965,3.4723632558186,2.62613420489862,2.62613420489862,3.72358251281433,4.09123138985294,4.0112008127392,3.60583819024097,2.62613420489862,2.62613420489862,3.72358251281433,3.13612217226411,3.13612217226411,3.60583819024097,2.91324388826224,3.31829954473405,4.29884700778252,4.29884700778252,3.72358251281433,3.82891533447339,3.4723632558186,4.0112008127392,3.13612217226411,3.4723632558186,3.92420502236965,3.31829954473405,3.4723632558186,4.16532973646471,3.31829954473405,2.62613420489862,3.72358251281433,2.91324388826224,3.60583819024097,2.91324388826224,3.72358251281433,3.92420502236965,3.31829954473405,3.72358251281433,3.60583819024097,2.62613420489862,4.4706838469577,3.82891533447339,3.4723632558186,3.31829954473405,2.22229910493953,3.13612217226411,3.4723632558186,4.16532973646471,4.0112008127392,3.4723632558186,3.92420502236965,3.60583819024097,3.31829954473405,3.4723632558186,3.92420502236965,3.4723632558186,2.91324388826224,3.4723632558186,4.41662036157183,3.72358251281433,3.82891533447339,4.23431484235302,4.16532973646471,4.09123138985294,3.31829954473405,3.60583819024097,3.60583819024097,3.13612217226411,2.62613420489862,2.91324388826224,3.4723632558186,3.92420502236965,4.16532973646471,3.31829954473405,3.60583819024097,3.31829954473405,3.72358251281433,2.91324388826224,3.31829954473405,3.60583819024097,3.92420502236965,4.16532973646471,4.61727900725877,4.35946636205177,3.31829954473405,3.82891533447339,4.61727900725877,3.82891533447339,4.23431484235302,3.4723632558186,3.92420502236965
"tr.140",4.90855776194771,4.33804193113,4.54566680035256,4.6062882068064,4.66344392611734,4.7175088669908,4.90855776194771,5.17425531009058,4.54566680035256,5.2387928612592,5.03115712065858,5.20704462447059,5.2387928612592,4.95111626440158,5.17425531009058,4.54566680035256,5.17425531009058,4.76880021440018,4.99193727770197,4.66344392611734,4.99193727770197,5.35657441935889,4.90855776194771,4.25800662835022,4.6062882068064,4.41214402761017,4.8175887030431,4.76880021440018,4.6062882068064,5.06889667332913,4.25800662835022,4.41214402761017,5.20704462447059,4.6062882068064,4.90855776194771,4.95111626440158,4.33804193113,3.71910716185977,4.07570709570002,4.7175088669908,4.48113215882804,4.07570709570002,4.6062882068064,4.54566680035256,4.99193727770197,4.6062882068064,4.66344392611734,4.33804193113,4.7175088669908,3.71910716185977,4.48113215882804,4.95111626440158,4.7175088669908,5.20704462447059,4.95111626440158,5.06889667332913,4.8175887030431,4.7175088669908,4.95111626440158,4.76880021440018,4.86410726639059,4.95111626440158,4.86410726639059,4.54566680035256,4.7175088669908,5.06889667332913,5.03115712065858,5.26956409971725,5.26956409971725,5.20704462447059,4.7175088669908,5.03115712065858,4.6062882068064,4.41214402761017,4.54566680035256,4.90855776194771,4.90855776194771,4.7175088669908,5.20704462447059,5.41064107050288,5.17425531009058,5.46193387812509,4.48113215882804,4.66344392611734,4.6062882068064,4.41214402761017,4.25800662835022,4.95111626440158,4.66344392611734,4.54566680035256,4.41214402761017,4.86410726639059,4.99193727770197,4.41214402761017,4.48113215882804,4.41214402761017,4.66344392611734,4.25800662835022,4.33804193113,4.86410726639059,5.17425531009058,4.8175887030431,4.7175088669908,5.10526362376264,5.03115712065858,4.8175887030431,4.48113215882804,4.41214402761017,4.86410726639059,4.07570709570002,4.6062882068064,4.90855776194771,4.99193727770197,4.8175887030431,4.86410726639059,4.95111626440158,5.14035432035641,4.33804193113,4.07570709570002,5.17425531009058,4.7175088669908,4.33804193113,4.6062882068064,4.25800662835022,4.17100476610159,4.6062882068064,4.25800662835022,4.6062882068064,4.90855776194771,4.17100476610159,4.7175088669908,4.33804193113,4.7175088669908,4.25800662835022,4.6062882068064,4.48113215882804,5.41064107050288,4.48113215882804,5.29941667918696,4.90855776194771,5.20704462447059,4.99193727770197,4.86410726639059,4.76880021440018,4.8175887030431,4.86410726639059,4.41214402761017,4.25800662835022,5.32840386479456,4.86410726639059,4.6062882068064,5.06889667332913,5.14035432035641,5.17425531009058,4.90855776194771,4.41214402761017
"tr.141",3.92563043889586,3.72500779218943,3.92563043889586,2.62755617724113,4.01262627363371,3.72500779218943,4.01262627363371,3.83034069267125,4.09265688527928,3.72500779218943,3.47378826436657,3.72500779218943,4.09265688527928,3.72500779218943,4.09265688527928,4.3608919400779,3.47378826436657,4.01262627363371,4.09265688527928,3.60726335944167,3.47378826436657,3.72500779218943,4.09265688527928,4.09265688527928,4.30027257081217,4.30027257081217,3.60726335944167,4.61870463215899,4.30027257081217,4.66315432491373,3.83034069267125,4.23574038728856,4.57218698900045,4.23574038728856,4.61870463215899,4.8598573782224,4.30027257081217,4.57218698900045,4.16675525929278,4.41804595216553,4.82349086736336,4.01262627363371,4.47210944818758,4.16675525929278,3.72500779218943,3.92563043889586,4.41804595216553,4.57218698900045,3.72500779218943,3.47378826436657,3.72500779218943,4.09265688527928,4.23574038728856,4.09265688527928,3.60726335944167,3.31972430586411,4.09265688527928,4.30027257081217,4.01262627363371,3.92563043889586,3.31972430586411,3.83034069267125,4.09265688527928,3.83034069267125,4.30027257081217,4.16675525929278,4.09265688527928,4.52339956198566,3.83034069267125,4.30027257081217,3.31972430586411,4.23574038728856,3.83034069267125,3.31972430586411,4.16675525929278,3.72500779218943,3.92563043889586,4.09265688527928,3.72500779218943,4.16675525929278,4.01262627363371,3.83034069267125,4.01262627363371,2.91466748540485,3.83034069267125,3.31972430586411,3.60726335944167,4.09265688527928,3.31972430586411,4.01262627363371,3.60726335944167,4.09265688527928,3.92563043889586,4.30027257081217,3.47378826436657,3.60726335944167,2.62755617724113,3.13754652334503,3.83034069267125,3.31972430586411,3.60726335944167,3.31972430586411,3.47378826436657,4.16675525929278,4.16675525929278,4.30027257081217,4.09265688527928,3.60726335944167,3.47378826436657,2.22371646547392,3.60726335944167,3.92563043889586,3.83034069267125,4.01262627363371,3.60726335944167,4.09265688527928,3.60726335944167,3.31972430586411,3.31972430586411,3.31972430586411,4.01262627363371,3.72500779218943,4.01262627363371,2.91466748540485,3.60726335944167,4.16675525929278,3.92563043889586,4.23574038728856,3.72500779218943,3.92563043889586,3.31972430586411,3.83034069267125,3.47378826436657,3.72500779218943,4.09265688527928,4.01262627363371,3.72500779218943,3.47378826436657,3.72500779218943,3.92563043889586,4.52339956198566,3.72500779218943,2.91466748540485,2.91466748540485,3.31972430586411,3.13754652334503,2.62755617724113,4.01262627363371,4.09265688527928,3.47378826436657,3.31972430586411,4.09265688527928,4.23574038728856,3.47378826436657,3.72500779218943,3.83034069267125
"tr.142",3.49024146384309,3.3849354595334,3.67249199906357,3.58551130567688,3.96010343846851,4.32296205773544,3.49024146384309,3.58551130567688,4.13192727752957,3.3849354595334,3.3849354595334,3.3849354595334,3.67249199906357,3.13380832778016,4.40633691456623,4.40633691456623,3.89557743056145,4.02071768926968,4.27851438219881,4.44555482064757,4.18321429170506,4.27851438219881,4.32296205773544,3.82659984780879,3.7525108257247,3.96010343846851,3.67249199906357,4.36551808523586,4.27851438219881,4.36551808523586,4.13192727752957,4.18321429170506,4.62143528492301,4.36551808523586,4.7983587809574,4.27851438219881,4.40633691456623,4.58864710226702,3.96010343846851,3.26722861723936,4.27851438219881,4.36551808523586,4.32296205773544,4.85100081679879,4.55474736333081,4.68395279753653,4.62143528492301,4.07786741184947,4.02071768926968,4.23199905119703,4.23199905119703,4.13192727752957,4.62143528492301,5.13867619980676,4.74279092670229,4.87631786983829,5.2649680053262,4.97162552701365,4.18321429170506,4.18321429170506,4.13192727752957,3.7525108257247,4.32296205773544,3.82659984780879,4.68395279753653,4.40633691456623,5.01607626772016,4.48329264762182,4.85100081679879,4.65318249441354,4.58864710226702,4.23199905119703,4.58864710226702,4.51965805391821,4.44555482064757,4.55474736333081,4.18321429170506,4.48329264762182,4.51965805391821,4.62143528492301,4.97162552701365,4.65318249441354,4.62143528492301,4.32296205773544,4.07786741184947,4.18321429170506,4.23199905119703,4.18321429170506,4.9010097820457,4.48329264762182,4.71380452297648,5.39212168058815,4.87631786983829,4.51965805391821,3.89557743056145,4.32296205773544,4.51965805391821,3.82659984780879,4.32296205773544,4.51965805391821,4.68395279753653,4.32296205773544,4.85100081679879,4.62143528492301,4.07786741184947,4.51965805391821,4.58864710226702,4.36551808523586,4.40633691456623,3.82659984780879,4.23199905119703,4.07786741184947,4.9010097820457,4.71380452297648,4.51965805391821,4.65318249441354,4.65318249441354,4.74279092670229,4.68395279753653,4.82502614572023,4.74279092670229,3.89557743056145,4.02071768926968,4.44555482064757,4.44555482064757,4.74279092670229,5.03758201022538,5.07925386473291,4.44555482064757,4.55474736333081,4.48329264762182,4.68395279753653,4.23199905119703,4.23199905119703,4.85100081679879,4.23199905119703,4.71380452297648,4.40633691456623,4.62143528492301,5.03758201022538,4.48329264762182,3.3849354595334,4.44555482064757,3.67249199906357,4.27851438219881,3.89557743056145,3.96010343846851,4.27851438219881,4.36551808523586,4.48329264762182,4.65318249441354,4.65318249441354,4.55474736333081,4.07786741184947,4.55474736333081,5.01607626772016
"tr.143",2.90076225015823,2.61366701171214,3.12363383120604,2.90076225015823,4.15283097758937,2.20987290820902,3.99870260451439,3.91170720862211,1.52560769322907,2.90076225015823,2.61366701171214,3.45986906937028,3.45986906937028,2.61366701171214,3.30580755803555,3.91170720862211,3.30580755803555,3.59334257544833,3.59334257544833,3.45986906937028,3.30580755803555,4.07873287460621,3.59334257544833,3.71108591847042,3.59334257544833,2.90076225015823,3.71108591847042,3.81641803932086,3.81641803932086,4.07873287460621,3.81641803932086,4.60477934085898,4.28634789147486,3.71108591847042,3.45986906937028,3.91170720862211,4.28634789147486,3.91170720862211,3.99870260451439,4.07873287460621,2.90076225015823,3.99870260451439,3.12363383120604,4.22181588692018,4.15283097758937,3.71108591847042,4.15283097758937,2.90076225015823,3.30580755803555,3.71108591847042,4.34696711241029,3.59334257544833,3.81641803932086,3.91170720862211,4.28634789147486,4.07873287460621,3.99870260451439,3.91170720862211,3.59334257544833,3.71108591847042,3.71108591847042,3.45986906937028,3.59334257544833,3.71108591847042,3.99870260451439,3.91170720862211,3.91170720862211,4.34696711241029,3.81641803932086,3.91170720862211,3.71108591847042,4.34696711241029,3.59334257544833,3.45986906937028,3.91170720862211,4.22181588692018,3.45986906937028,3.91170720862211,2.90076225015823,4.45818439101141,4.40412100019203,3.30580755803555,3.12363383120604,3.30580755803555,2.61366701171214,4.22181588692018,3.81641803932086,3.91170720862211,4.40412100019203,3.91170720862211,4.34696711241029,3.71108591847042,3.91170720862211,4.15283097758937,3.99870260451439,3.59334257544833,3.59334257544833,1.52560769322907,3.12363383120604,2.20987290820902,3.99870260451439,4.34696711241029,3.59334257544833,4.07873287460621,3.45986906937028,3.91170720862211,3.12363383120604,3.30580755803555,3.59334257544833,2.61366701171214,3.30580755803555,1.52560769322907,2.90076225015823,3.12363383120604,3.30580755803555,4.15283097758937,3.81641803932086,3.12363383120604,3.91170720862211,3.81641803932086,3.71108591847042,3.45986906937028,3.12363383120604,3.12363383120604,3.30580755803555,3.30580755803555,3.59334257544833,4.40412100019203,3.59334257544833,3.59334257544833,3.81641803932086,3.81641803932086,3.30580755803555,3.99870260451439,3.59334257544833,3.91170720862211,3.45986906937028,3.45986906937028,3.30580755803555,3.59334257544833,3.71108591847042,3.30580755803555,3.30580755803555,3.45986906937028,2.90076225015823,2.90076225015823,2.20987290820902,2.90076225015823,3.59334257544833,3.71108591847042,3.12363383120604,4.07873287460621,3.12363383120604,3.81641803932086,3.45986906937028,3.99870260451439
"tr.144",2.546982560315,2.546982560315,3.23897946122267,3.05682686057461,2.83399411849317,3.74955917765477,3.5264934525755,3.64423111849276,3.93183845085262,2.83399411849317,3.39302822443209,3.23897946122267,3.84484534128867,3.39302822443209,2.14342581811181,3.39302822443209,3.64423111849276,3.74955917765477,3.64423111849276,3.23897946122267,3.64423111849276,3.64423111849276,3.39302822443209,3.39302822443209,4.01186694148084,3.39302822443209,4.33725016291954,4.08596363241286,4.33725016291954,3.84484534128867,3.74955917765477,3.74955917765477,3.74955917765477,3.84484534128867,3.39302822443209,3.5264934525755,3.5264934525755,3.84484534128867,3.74955917765477,3.5264934525755,3.84484534128867,3.84484534128867,4.01186694148084,4.28009692277267,4.08596363241286,4.15494740250757,4.21947847463759,3.93183845085262,3.05682686057461,2.546982560315,3.93183845085262,2.14342581811181,3.5264934525755,4.33725016291954,4.77905784880075,4.28009692277267,4.33725016291954,4.21947847463759,4.15494740250757,3.93183845085262,4.01186694148084,2.14342581811181,3.84484534128867,3.93183845085262,4.21947847463759,4.15494740250757,4.21947847463759,3.23897946122267,3.84484534128867,3.84484534128867,3.64423111849276,4.08596363241286,4.01186694148084,4.01186694148084,3.74955917765477,3.39302822443209,3.84484534128867,4.4426025616302,3.84484534128867,4.4426025616302,4.53790673568438,4.15494740250757,4.28009692277267,3.93183845085262,4.15494740250757,3.39302822443209,3.39302822443209,3.64423111849276,4.33725016291954,4.21947847463759,4.6657336551821,4.01186694148084,4.49138950860906,4.08596363241286,3.84484534128867,3.64423111849276,3.23897946122267,4.28009692277267,3.5264934525755,3.64423111849276,4.39131300563083,4.21947847463759,4.01186694148084,4.49138950860906,3.93183845085262,4.01186694148084,4.4426025616302,4.08596363241286,4.49138950860906,3.23897946122267,3.5264934525755,3.84484534128867,4.01186694148084,4.49138950860906,4.21947847463759,3.93183845085262,4.08596363241286,4.58235606543337,3.5264934525755,4.53790673568438,3.64423111849276,4.01186694148084,4.53790673568438,4.39131300563083,3.93183845085262,4.49138950860906,4.77905784880075,4.70495269743639,4.58235606543337,4.39131300563083,4.08596363241286,3.05682686057461,3.64423111849276,3.39302822443209,4.08596363241286,4.49138950860906,4.49138950860906,4.39131300563083,4.62491354473603,4.62491354473603,4.6657336551821,4.28009692277267,4.08596363241286,3.39302822443209,3.5264934525755,3.23897946122267,3.84484534128867,4.33725016291954,4.08596363241286,3.93183845085262,4.58235606543337,4.9125851032449,4.62491354473603,4.58235606543337,4.62491354473603,4.49138950860906
