c_value	by_break
0.869435	0.067383
0.931508	0.620117
0.864584	0.118164
0.746321	0.000000
0.902761	0.061523
0.744245	0.000000
0.958230	0.676758
0.909092	0.506836
0.797274	0.000000
0.846609	0.000000
0.666724	0.000000
0.947700	0.602539
0.960341	0.668945
0.876089	0.000000
0.679229	0.000000
0.673946	0.000000
0.956320	0.790039
0.955388	0.803711
0.831874	0.139648
0.874120	0.211914
0.917167	0.239258
0.959861	0.846680
0.838804	0.065430
0.914507	0.250977
0.759030	0.000000
0.919084	0.360352
0.880955	0.110352
0.897617	0.186523
0.677742	0.000000
0.859293	0.225586
0.944064	0.821289
0.946183	0.805664
0.650421	0.000000
0.908486	0.424805
0.728073	0.000000
0.964482	0.688477
0.805166	0.000000
0.963399	0.752930
0.911736	0.165039
0.939438	0.709961
0.528259	0.000000
0.814971	0.000000
0.909277	0.416992
0.944744	0.666992
0.916687	0.598633
0.795564	0.000000
0.927117	0.104492
0.939112	0.567383
0.875800	0.196289
0.955979	0.768555
0.827716	0.000000
0.839010	0.000000
0.933549	0.747070
0.949580	0.645508
0.866186	0.000000
0.871071	0.000000
0.865533	0.000000
0.846554	0.073242
0.826282	0.000000
0.898005	0.231445
0.956056	0.856445
0.798189	0.000000
0.832046	0.000000
0.907136	0.379883
0.329388	0.000000
0.961357	0.809570
0.676175	0.000000
0.843190	0.000000
0.866848	0.065430
0.832463	0.000000
0.920813	0.268555
0.944002	0.356445
0.616507	0.000000
0.592322	0.000000
0.901795	0.454102
0.883344	0.315430
0.850330	0.235352
0.918613	0.514648
0.885782	0.149414
0.700329	0.000000
0.911226	0.346680
0.936981	0.247070
0.464229	0.000000
0.818744	0.000000
0.846924	0.000000
0.712744	0.000000
0.941131	0.602539
0.899062	0.059570
0.939518	0.526367
0.867350	0.096680
0.943404	0.788086
0.872631	0.227539
0.818051	0.000000
0.821608	0.000000
0.918070	0.223633
0.748332	0.000000
0.837862	0.000000
0.425524	0.000000
0.676963	0.000000
0.966137	0.799805
0.830239	0.041992
0.835072	0.000000
0.721285	0.000000
0.935502	0.514648
0.047198	0.000000
0.887711	0.000000
0.922365	0.469727
0.951131	0.588867
0.803585	0.000000
0.904310	0.219727
0.677915	0.000000
0.944523	0.596680
0.802005	0.000000
0.989924	0.979492
0.941997	0.702148
0.812175	0.000000
0.930745	0.534180
0.927418	0.450195
0.875965	0.000000
0.911513	0.194336
0.759805	0.000000
0.831640	0.000000
0.899772	0.032227
0.857733	0.000000
0.807900	0.000000
0.502838	0.000000
0.608380	0.000000
0.961884	0.774414
0.958939	0.776367
0.488262	0.000000
0.889641	0.118164
0.908769	0.557617
0.677699	0.000000
0.910083	0.502930
0.755079	0.000000
0.933798	0.668945
0.600483	0.000000
0.905447	0.202148
0.778921	0.000000
0.744390	0.000000
0.831695	0.000000
0.907014	0.055664
0.941331	0.577148
0.763115	0.000000
0.763266	0.000000
0.954532	0.801758
0.863339	0.000000
0.585850	0.000000
0.901332	0.362305
0.952729	0.819336
0.815194	0.000000
0.874217	0.233398
0.932382	0.768555
0.868050	0.000000
0.869367	0.075195
0.906667	0.452148
0.904535	0.221680
0.845904	0.096680
0.901881	0.118164
0.877959	0.198242
0.912039	0.229492
0.951284	0.807617
0.927110	0.551758
0.963594	0.870117
0.408924	0.000000
0.948100	0.825195
0.350983	0.000000
0.857074	0.000000
0.873291	0.092773
0.884029	0.000000
0.810930	0.000000
0.771731	0.000000
0.856178	0.000000
0.715486	0.000000
0.950590	0.670898
0.854940	0.030273
0.798123	0.000000
0.921531	0.391602
0.549820	0.000000
0.953083	0.684570
0.825950	0.000000
0.760874	0.000000
0.942496	0.557617
0.914086	0.612305
0.952449	0.797852
0.955315	0.788086
0.908412	0.504883
0.798121	0.000000
0.850694	0.000000
0.881042	0.280273
0.928456	0.676758
0.589847	0.000000
0.900319	0.000000
0.942451	0.506836
0.863761	0.055664
0.890592	0.153320
0.899919	0.075195
0.896803	0.299805
0.852381	0.102539
0.804597	0.000000
0.889927	0.274414
0.886539	0.104492
0.844411	0.000000
0.684883	0.000000
0.814106	0.000000
0.773529	0.000000
0.873551	0.000000
0.937819	0.520508
0.855499	0.000000
0.843515	0.000000
0.930912	0.545898
0.744979	0.000000
0.842664	0.000000
0.770632	0.000000
0.952588	0.754883
0.895838	0.088867
0.906945	0.258789
0.875252	0.000000
0.763112	0.000000
0.842445	0.063477
0.731953	0.000000
0.933228	0.407227
0.909778	0.239258
0.967485	0.872070
0.820558	0.000000
0.975717	0.936523
0.934095	0.608398
0.812715	0.000000
0.904911	0.379883
0.912382	0.458008
0.819416	0.000000
0.953472	0.762695
0.752132	0.000000
0.815924	0.000000
0.879144	0.274414
0.930360	0.774414
0.852454	0.051758
0.833738	0.096680
0.932608	0.561523
0.932486	0.649414
0.585233	0.000000
0.977884	0.899414
0.798054	0.000000
0.936261	0.547852
0.845913	0.000000
0.753573	0.000000
0.699952	0.000000
0.690780	0.000000
0.651831	0.000000
0.714510	0.000000
0.979607	0.946289
0.907106	0.092773
0.791496	0.000000
0.900783	0.469727
0.876000	0.000000
0.952805	0.741211
0.695142	0.000000
0.886974	0.000000
0.905246	0.284180
0.958368	0.831055
0.688622	0.000000
0.802486	0.000000
0.784882	0.000000
0.921584	0.571289
0.902541	0.213867
0.823392	0.000000
0.699477	0.000000
0.943355	0.588867
0.920083	0.571289
0.953787	0.676758
0.966574	0.875977
0.956156	0.770508
0.752539	0.000000
0.826478	0.000000
0.951753	0.665039
0.812377	0.000000
0.904248	0.184570
0.832266	0.000000
0.905229	0.307617
0.986645	0.975586
0.896632	0.028320
0.860731	0.096680
0.871546	0.133789
0.832682	0.000000
0.944983	0.729492
0.643687	0.000000
0.800603	0.000000
0.885811	0.000000
0.838241	0.000000
0.907003	0.403320
0.917713	0.491211
0.673427	0.000000
0.896479	0.461914
0.810584	0.000000
0.969902	0.840820
0.846022	0.000000
0.665642	0.000000
0.929764	0.454102
0.877674	0.000000
0.809146	0.000000
0.907553	0.219727
0.585540	0.000000
0.676823	0.000000
0.914515	0.340820
0.809012	0.000000
0.719831	0.000000
0.710842	0.000000
0.899189	0.225586
0.804852	0.000000
0.833720	0.000000
0.881067	0.293945
0.785073	0.000000
0.886129	0.202148
0.899408	0.000000
0.874583	0.059570
0.714754	0.000000
0.782192	0.000000
0.800035	0.000000
0.747468	0.000000
0.666931	0.000000
0.784704	0.000000
0.949508	0.821289
0.844302	0.000000
0.777700	0.000000
0.893290	0.323242
0.736852	0.000000
0.790380	0.000000
0.842028	0.000000
0.865602	0.081055
0.879097	0.075195
0.887758	0.000000
0.863542	0.000000
0.972059	0.899414
0.968730	0.916992
0.925547	0.077148
0.928526	0.581055
0.611336	0.000000
0.902033	0.073242
0.935514	0.637695
0.856634	0.155273
0.901787	0.000000
0.877258	0.206055
0.967890	0.881836
0.898152	0.176758
0.790985	0.000000
0.717655	0.000000
0.945629	0.641602
0.579126	0.000000
