N	MLE_to_Truth_means	MLE_to_Truth_sems	Posterior_Mean_to_MLE_means	Posterior_Mean_to_MLE_sems	Approximation_to_Posterior_Mean_means	Approximation_to_Posterior_Mean_sems	MAP_to_Posterior_Mean_means	MAP_to_Posterior_Mean_sems	Approximation_to_MAP_means	Approximation_to_MAP_sems
1	97.937668091014089	27.209830178350956	97.772423995066148	27.104503876446000	0.116117737813328	0.013805870687360	0.000131851365541	0.000054070248373	0.115985889238412	0.013765844950951
3	671.443421275850255	445.817333456359279	671.345977025589946	445.851473286583769	0.222727793617371	0.028091284710551	0.000956710235077	0.000329625341505	0.221799490348401	0.027912802495682
10	158.280126473987281	121.507219811375734	158.118731029274159	121.550862138313533	0.223309619214103	0.050684713161933	0.003756738021050	0.000767739713376	0.219864919866677	0.050339787870222
31	1.983532214025020	0.243826934232301	1.995121444518371	0.183901406820089	0.111055402216407	0.021560633511428	0.009134885240864	0.000835135114721	0.102129618848095	0.020925051659161
100	1.201971211413924	0.146841492471839	0.806861844346259	0.083881828045041	0.046617434844868	0.007957421830849	0.013366710225913	0.001064937206301	0.033301327549480	0.007070019091084
316	0.659806903052571	0.061133559426994	0.298868768820242	0.022401445798031	0.016934383609363	0.001650970776759	0.010794485381241	0.000656294089189	0.006144251911158	0.001025220778801
1000	0.320314128596023	0.027571070752510	0.101997403430700	0.004094911262521	0.005889340877015	0.000228277058652	0.005142795911723	0.000155239351176	0.000747003467825	0.000074222932505
3162	0.172266147662113	0.017259940904331	0.033034008131329	0.000732813646536	0.001922464439291	0.000034202168840	0.001843648299587	0.000030078812672	0.000078824339490	0.000004179836360
10000	0.102993824791047	0.006606977133820	0.010493013493340	0.000129341891691	0.000613861717528	0.000005871281061	0.000605901360932	0.000005625910781	0.000007960842752	0.000000247636615
31622	0.051374521737278	0.005407068098651	0.003368709312756	0.000021019876352	0.000196902035288	0.000001060981315	0.000196074579110	0.000001047539809	0.000000827483454	0.000000013588579
100000	0.031733924261169	0.003144944957363	0.001075811767232	0.000004077095026	0.000062800594998	0.000000194042272	0.000062715675387	0.000000193229165	0.000000084922769	0.000000000822662
316227	0.021066307955494	0.001915916745993	0.000340031851426	0.000000875428444	0.000019855820241	0.000000042464640	0.000019847337955	0.000000042408092	0.000000008482977	0.000000000057043
1000000	0.012180454108322	0.000981416221096	0.000107427170430	0.000000167941496	0.000006278914608	0.000000007676634	0.000006278066982	0.000000007673243	0.000000000847773	0.000000000003413
