Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	343.42744	41.58581	68.94120	-27.35539	0.00000	0.00000
0001	303.24777	59.44766	87.89816	-28.45050	0.00000	0.03027
0002	317.97675	49.24776	80.96679	-31.71903	0.00000	0.01270
0003	306.71383	67.57245	91.33007	-23.75762	0.00000	0.00000
0004	276.02241	46.91124	88.92328	-42.01205	0.00000	0.75879
0005	309.73858	46.97001	80.56221	-33.59219	0.00000	0.17676
0006	358.37035	58.02675	73.41259	-15.38584	0.00000	0.00000
0007	345.10906	67.51579	83.19730	-15.68151	0.00000	0.00000
0008	383.32988	52.69618	64.73179	-12.03561	0.00000	0.00000
0009	318.00946	49.87192	79.83007	-29.95815	0.00000	0.00000
0010	335.65954	46.93686	73.67832	-26.74146	0.00000	0.00000
0011	284.59355	43.38020	84.50957	-41.12936	0.00000	0.67871
0012	345.22845	42.75313	69.16262	-26.40949	0.00000	0.00000
0013	271.71451	47.63683	89.98109	-42.34425	0.00000	0.79199
0014	295.43388	50.70674	85.44866	-34.74192	0.00000	0.37207
0015	365.21701	60.42205	72.86323	-12.44118	0.00000	0.00000
0016	255.14525	42.74412	91.63623	-48.89210	0.00000	0.94434
0017	316.34911	43.18665	76.92206	-33.73541	0.00000	0.11426
0018	289.09243	72.07063	98.45554	-26.38491	0.00000	0.09473
0019	332.75574	50.89414	77.22200	-26.32786	0.00000	0.00000
0020	312.35687	64.31729	89.01398	-24.69669	0.00000	0.00000
0021	302.61848	39.30093	78.13569	-38.83476	0.00000	0.45215
0022	372.71518	76.50050	79.23915	-2.73866	0.00000	0.00000
0023	316.01410	58.77424	85.35546	-26.58121	0.00000	0.00000
0024	316.75258	56.69729	83.39264	-26.69535	0.00000	0.00000
0025	353.80937	52.49608	72.25496	-19.75889	0.00000	0.00000
0026	296.42977	53.29594	86.50095	-33.20501	0.00000	0.30176
0027	307.80240	40.65160	77.41565	-36.76405	0.00000	0.32520
0028	343.43654	40.59854	68.66607	-28.06754	0.00000	0.00000
0029	406.57339	56.54439	60.62361	-4.07923	0.00000	0.00000
0030	329.13047	60.57241	82.05627	-21.48387	0.00000	0.00000
0031	286.00846	27.93299	77.13181	-49.19882	0.00000	0.84277
0032	326.21712	51.59749	78.21395	-26.61646	0.00000	0.00000
0033	356.48132	65.08530	77.87609	-12.79078	0.00000	0.00000
0034	310.30890	50.84576	84.04420	-33.19843	0.00000	0.15527
0035	284.62194	55.65790	91.19064	-35.53274	0.00000	0.50684
0036	295.26815	40.89571	80.59563	-39.69991	0.00000	0.54980
0037	338.48392	74.26419	88.53735	-14.27316	0.00000	0.00000
0038	299.19464	54.36584	86.33946	-31.97362	0.00000	0.22168
0039	293.23706	52.05872	86.68032	-34.62160	0.00000	0.38965
0040	287.19733	56.91735	92.09149	-35.17414	0.00000	0.46973
0041	365.81680	57.98585	71.96147	-13.97562	0.00000	0.00000
0042	330.74447	45.99991	74.57864	-28.57872	0.00000	0.00000
0043	314.94084	46.44212	78.71219	-32.27007	0.00000	0.06738
0044	299.32004	39.49389	79.26223	-39.76835	0.00000	0.51660
0045	325.33427	51.05902	82.86644	-31.80743	0.00000	0.00000
0046	357.04893	45.57777	67.48055	-21.90279	0.00000	0.00000
0047	295.52825	46.21507	83.65548	-37.44041	0.00000	0.46973
0048	288.05057	56.72397	90.35371	-33.62974	0.00000	0.40332
0049	310.81891	51.20147	83.61644	-32.41497	0.00000	0.11816
0050	297.67568	51.66264	85.40130	-33.73866	0.00000	0.30957
0051	254.46770	52.40290	96.57119	-44.16830	0.00000	0.90137
0052	314.44947	44.56166	79.27433	-34.71267	0.00000	0.17480
0053	262.79180	58.76881	98.01044	-39.24163	0.00000	0.78027
0054	342.33907	33.13996	64.96799	-31.82803	0.00000	0.00000
0055	301.04623	56.57019	87.95082	-31.38063	0.00000	0.17871
0056	326.77354	63.35285	84.08443	-20.73157	0.00000	0.00000
0057	342.51865	48.24422	72.50711	-24.26288	0.00000	0.00000
0058	278.53637	63.13993	96.03529	-32.89536	0.00000	0.46973
0059	327.18246	38.71167	71.81226	-33.10059	0.00000	0.00000
0060	263.18904	32.57552	84.44427	-51.86875	0.00000	0.94824
0061	324.88282	48.75426	77.28464	-28.53038	0.00000	0.00000
0062	274.73393	66.20182	99.97032	-33.76850	0.00000	0.53809
0063	337.99539	37.37565	68.28754	-30.91189	0.00000	0.00000
0064	312.38424	47.38516	81.00609	-33.62093	0.00000	0.15137
0065	282.46616	55.04225	92.52895	-37.48670	0.00000	0.59082
0066	324.67879	51.89535	78.79093	-26.89558	0.00000	0.00000
0067	336.30832	36.60614	68.18033	-31.57419	0.00000	0.00000
0068	333.14756	50.82874	76.13410	-25.30536	0.00000	0.00000
0069	273.16640	48.05642	91.63409	-43.57768	0.00000	0.80762
0070	267.26369	38.83611	86.56221	-47.72609	0.00000	0.89746
0071	309.13373	42.66275	78.96685	-36.30410	0.00000	0.29395
0072	315.83658	51.33393	81.20785	-29.87392	0.00000	0.00000
0073	282.89165	39.16566	83.36192	-44.19626	0.00000	0.76465
0074	305.34690	39.78747	77.51658	-37.72910	0.00000	0.38574
0075	275.16957	35.67607	83.02670	-47.35062	0.00000	0.86230
0076	354.97921	42.06459	67.76858	-25.70399	0.00000	0.00000
0077	376.48364	52.13416	66.11927	-13.98511	0.00000	0.00000
0078	302.34530	68.94619	94.96490	-26.01871	0.00000	0.00000
0079	285.58318	34.63872	80.37426	-45.73553	0.00000	0.78027
0080	306.80779	44.20493	80.82851	-36.62358	0.00000	0.32910
0081	300.72310	37.10904	77.46625	-40.35720	0.00000	0.52246
0082	302.07969	40.86526	79.97615	-39.11088	0.00000	0.46777
0083	308.98401	41.68712	77.71015	-36.02303	0.00000	0.28418
0084	266.48473	47.54634	91.43294	-43.88660	0.00000	0.84863
0085	339.84154	57.40269	78.30676	-20.90406	0.00000	0.00000
0086	325.21258	38.49198	71.91571	-33.42373	0.00000	0.00879
0087	343.86241	38.42564	67.34120	-28.91556	0.00000	0.00000
0088	348.19162	48.04779	71.05607	-23.00829	0.00000	0.00000
0089	305.97205	62.47155	89.93247	-27.46093	0.00000	0.00000
0090	306.90657	49.18485	81.99286	-32.80801	0.00000	0.17480
0091	306.06621	43.97823	79.55769	-35.57946	0.00000	0.29590
0092	287.41682	60.62267	92.75550	-32.13284	0.00000	0.35254
0093	297.85490	58.74173	88.87520	-30.13347	0.00000	0.16113
0094	304.70608	46.41798	82.25953	-35.84155	0.00000	0.32129
0095	330.02420	56.52451	80.50332	-23.97882	0.00000	0.00000
0096	337.48881	56.95001	78.25342	-21.30341	0.00000	0.00000
0097	312.77598	47.78359	79.66788	-31.88429	0.00000	0.07520
0098	343.68998	36.07493	66.62997	-30.55504	0.00000	0.00000
0099	316.10121	61.47254	87.72980	-26.25726	0.00000	0.00000
0100	296.80236	33.40771	76.58923	-43.18152	0.00000	0.64160
0101	382.65565	48.26958	63.43179	-15.16221	0.00000	0.00000
0102	342.15551	43.50638	71.84207	-28.33569	0.00000	0.00000
0103	266.05295	28.14718	81.53265	-53.38546	0.00000	0.95215
0104	288.59172	49.30219	87.82160	-38.51941	0.00000	0.56934
0105	458.96976	88.91158	64.13722	24.77436	0.00000	0.00000
0106	333.50206	49.88529	75.56299	-25.67770	0.00000	0.00000
0107	274.70918	51.27146	92.91843	-41.64696	0.00000	0.75879
0108	317.86614	62.76868	87.78019	-25.01151	0.00000	0.00000
0109	286.85337	31.04805	77.87394	-46.82588	0.00000	0.79590
0110	293.32165	30.72824	76.01626	-45.28802	0.00000	0.72168
0111	267.74905	52.73159	94.47609	-41.74451	0.00000	0.80371
0112	272.82448	46.45215	88.97429	-42.52214	0.00000	0.79004
0113	284.58829	34.49115	80.38224	-45.89110	0.00000	0.79004
0114	346.91410	65.46149	81.79683	-16.33534	0.00000	0.00000
0115	344.28328	42.04958	68.97530	-26.92572	0.00000	0.00000
0116	284.93689	52.58271	89.01312	-36.43041	0.00000	0.53418
0117	321.83988	44.31427	76.15704	-31.84277	0.00000	0.00000
0118	291.23412	45.56978	84.27867	-38.70889	0.00000	0.55371
0119	330.26201	47.25342	75.37878	-28.12535	0.00000	0.00000
0120	244.42143	54.63474	100.16768	-45.53294	0.00000	0.94238
0121	265.51369	41.84628	89.18321	-47.33693	0.00000	0.89941
0122	313.61796	47.30539	79.63135	-32.32596	0.00000	0.08496
0123	333.42426	42.50600	72.09129	-29.58529	0.00000	0.00000
0124	295.55361	55.13335	87.63245	-32.49909	0.00000	0.28223
0125	328.46240	41.77908	72.86463	-31.08555	0.00000	0.00000
0126	336.70466	57.46099	78.51766	-21.05666	0.00000	0.00000
0127	266.72183	42.47974	88.52074	-46.04100	0.00000	0.87793
0128	360.79802	54.61368	71.18291	-16.56922	0.00000	0.00000
0129	278.29782	46.26031	87.64141	-41.38110	0.00000	0.72949
0130	425.56664	64.03641	59.73184	4.30458	0.00000	0.00000
0131	276.99933	52.47964	92.05330	-39.57366	0.00000	0.69434
0132	365.94409	55.66270	70.89150	-15.22880	0.00000	0.00000
0133	291.98844	43.92171	83.55808	-39.63637	0.00000	0.57520
0134	314.14472	49.05582	80.42051	-31.36469	0.00000	0.03809
0135	332.92393	49.14347	75.31426	-26.17079	0.00000	0.00000
0136	303.89416	42.17919	79.33028	-37.15109	0.00000	0.37793
0137	295.78619	63.87834	92.06635	-28.18801	0.00000	0.10059
0138	349.73780	62.96467	78.37248	-15.40780	0.00000	0.00000
0139	286.60866	38.96168	82.35099	-43.38931	0.00000	0.72168
0140	273.20268	47.27094	89.29105	-42.02011	0.00000	0.77637
0141	306.20864	47.23081	81.05387	-33.82306	0.00000	0.22363
0142	255.45139	41.92110	91.92216	-50.00106	0.00000	0.95020
0143	297.19929	61.12380	92.84247	-31.71867	0.00000	0.23340
0144	285.99141	52.83946	89.12559	-36.28612	0.00000	0.51855
0145	370.23612	70.40975	78.84398	-8.43423	0.00000	0.00000
0146	253.68733	34.15354	87.60987	-53.45633	0.00000	0.97168
0147	328.93430	65.00682	84.22411	-19.21729	0.00000	0.00000
0148	305.99473	56.10637	86.67129	-30.56492	0.00000	0.09082
0149	331.68704	49.73276	75.93139	-26.19863	0.00000	0.00000
0150	282.13028	49.54220	89.57212	-40.02992	0.00000	0.66699
0151	411.05895	62.98795	62.77850	0.20946	0.00000	0.00000
0152	220.78709	40.53506	99.43707	-58.90200	0.00000	0.99902
0153	317.98111	39.64299	74.32115	-34.67817	0.00000	0.13574
0154	318.92560	42.32191	75.59404	-33.27213	0.00000	0.06738
0155	283.39148	42.11445	85.38541	-43.27096	0.00000	0.74121
0156	285.79243	66.98006	95.99848	-29.01842	0.00000	0.24316
0157	297.57839	54.37804	87.03474	-32.65670	0.00000	0.26660
0158	313.97379	30.57363	70.78832	-40.21469	0.00000	0.39355
0159	312.71828	34.48132	73.20158	-38.72025	0.00000	0.35059
0160	270.70977	46.56927	89.56796	-42.99869	0.00000	0.81152
0161	280.06648	51.01254	92.37604	-41.36349	0.00000	0.71777
0162	350.03742	55.77809	74.42934	-18.65124	0.00000	0.00000
0163	265.29708	35.77552	86.00351	-50.22799	0.00000	0.93066
0164	237.83879	85.04471	117.26482	-32.22010	0.00000	0.78418
0165	327.07870	61.66886	85.21241	-23.54355	0.00000	0.00000
0166	341.66416	54.67004	75.93989	-21.26985	0.00000	0.00000
0167	293.38629	46.27312	83.77931	-37.50619	0.00000	0.49316
0168	340.08422	76.59165	88.86946	-12.27780	0.00000	0.00000
0169	278.13846	75.18362	102.14615	-26.96252	0.00000	0.24121
0170	365.18094	60.03680	72.82522	-12.78841	0.00000	0.00000
0171	281.34897	34.57838	80.90917	-46.33079	0.00000	0.81543
0172	309.29388	54.98571	84.26090	-29.27519	0.00000	0.00098
0173	339.63044	50.79698	76.62023	-25.82326	0.00000	0.00000
0174	376.42061	39.88123	60.61106	-20.72983	0.00000	0.00000
0175	315.29866	55.70518	82.99627	-27.29109	0.00000	0.00000
0176	253.82443	55.66000	99.04771	-43.38771	0.00000	0.89355
0177	295.80120	54.17909	87.59190	-33.41281	0.00000	0.31543
0178	341.56254	54.34569	76.66934	-22.32365	0.00000	0.00000
0179	308.17300	53.75834	83.78987	-30.03153	0.00000	0.04590
0180	382.26146	51.37471	64.15021	-12.77550	0.00000	0.00000
0181	366.67637	43.21853	64.84011	-21.62158	0.00000	0.00000
0182	289.96833	43.70664	83.63248	-39.92584	0.00000	0.60254
0183	304.26805	56.24204	87.07327	-30.83123	0.00000	0.12012
0184	314.68116	44.50786	78.43120	-33.92335	0.00000	0.13965
0185	299.03084	43.42492	80.93679	-37.51187	0.00000	0.44043
0186	304.88877	38.91017	77.73050	-38.82034	0.00000	0.43066
0187	335.83898	57.09861	78.54535	-21.44675	0.00000	0.00000
0188	261.09849	48.70679	93.38682	-44.68003	0.00000	0.88184
0189	314.13383	49.23540	80.99913	-31.76372	0.00000	0.05566
0190	286.34935	44.37711	84.56069	-40.18357	0.00000	0.63965
0191	279.14457	49.65210	89.05874	-39.40664	0.00000	0.67285
